rowid,FSCL_YR,MINC,MINE,MINF,DepartmentNumber-Numéro-de-Ministère,DEPT_EN_DESC,DEPT_FR_DESC,RCPNT_CLS_EN_DESC,RCPNT_CLS_FR_DESC,RCPNT_NML_EN_DESC,RCPNT_NML_FR_DESC,CTY_EN_NM,CTY_FR_NM,PROVTER_EN,PROVTER_FR,CNTRY_EN_NM,CNTRY_FR_NM,TOT_CY_XPND_AMT,AGRG_PYMT_AMT
57,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Meyer Family Vineyards Inc,Meyer Family Vineyards Inc,Vernon,Vernon,British Columbia,Colombie-Britannique,,,0,155430
58,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Monte Creek Winery Ltd,Monte Creek Winery Ltd,Mission,Mission,British Columbia,Colombie-Britannique,,,0,229937
59,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Moon Curser Vineyards Inc,Moon Curser Vineyards Inc,Osoyoos,Osoyoos,British Columbia,Colombie-Britannique,,,0,158873
60,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Nk'Mip Cellars Inc,Nk'Mip Cellars Inc,Toronto,Toronto,Ontario,Ontario,,,0,232566
61,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Noble Ridge Vineyard and Winery,Noble Ridge Vineyard and Winery,Calgary,Calgary,Alberta,Alberta,,,0,115114
62,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Okanagan Crush Pad Winery Ltd,Okanagan Crush Pad Winery Ltd,Vancouver,Vancouver,British Columbia,Colombie-Britannique,,,0,374447
63,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,O'Rourke Family Vineyards Ltd,O'Rourke Family Vineyards Ltd,Edmonton,Edmonton,Alberta,Alberta,,,0,136810
64,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Osoyoos Larose Estate Winery Ltd,Osoyoos Larose Estate Winery Ltd,Oliver,Oliver,British Columbia,Colombie-Britannique,,,0,191935
65,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Pelee Island Winery & Vineyards Inc,Pelee Island Winery & Vineyards Inc,Toronto,Toronto,Ontario,Ontario,,,0,2376043
66,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Peninsula Ridge Estates Winery Ltd,Peninsula Ridge Estates Winery Ltd,Hamilton,Hamilton,Ontario,Ontario,,,0,151476
