title,award_summary,application_id,competition_year,fiscal_year,project_lead_name,institution,department,province,award_amount,installment,program,selection_committee,research_subject,area_of_application,co-researchers,partners,external_id,source_url
Molecular adaption of the human skeletal muscle metabolism to increased contractile activity,No summary - Aucun sommaire,41654-1989,1989,1991-1992,"Simoneau, JeanAimé",Université Laval,Éducation physique,Québec,27000.0,3-3,Discovery Grants Program - Individual,Animal Biology (H),Animal biology,Not available,No Co-Researcher,No Partners,100061,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100061
Distorsion et performance visuelle donnée par la périphérie d'une lentille ophtalmique,No summary - Aucun sommaire,105658-1991,1991,1991-1992,"Simonet, Pierre",Université de Montréal,Optométrie (Ecole),Québec,20000.0,1-3,Discovery Grants Program - Individual,Animal Biology (H),Sensory systems -- visual,Psychology,No Co-Researcher,No Partners,100062,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100062
"Risk and reliability in management of a multipurpose reservoir system; collaborative research at IDEA, University of Bologna, Bologna, Italy",No summary - Aucun sommaire,121189-1991,1991,1991-1992,"Simonovic, Slobodan",University of Manitoba,Civil Engineering,Manitoba,4800.0,1-1,International Collaborative Research Grant,International Relations (H),Not available,Electrical energy,No Co-Researcher,No Partners,100063,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100063
Intelligent decision support in water resources management,No summary - Aucun sommaire,4416-1990,1990,1991-1992,"Simonovic, Slobodan",University of Manitoba,Civil Engineering,Manitoba,30650.0,2-3,Discovery Grants Program - Individual,Civil Engineering,Other studies in natural sciences and engineering,Electrical energy,No Co-Researcher,No Partners,100064,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100064
No title - Aucun titre,No summary - Aucun sommaire,119043-1991,1991,1991-1992,"Simons, Christopher",McGill University,Mathematics & Statistics,Québec,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Maths/Phys Sc (H),Pure mathematics,Not available,No Co-Researcher,No Partners,100065,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100065
No title - Aucun titre,No summary - Aucun sommaire,115718-1991,1991,1991-1992,"Simonson, Carey",University of Saskatchewan,Mechanical Engineering,Saskatchewan,9981.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Heat transfer,Not available,No Co-Researcher,No Partners,100066,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100066
Tectonics studies in Southern Cordillera,No summary - Aucun sommaire,2675-1989,1989,1991-1992,"Simony, Philip",University of Calgary,Geology and Geophysics,Alberta,24400.0,3-3,Discovery Grants Program - Individual,Earth Sciences (H),Earth science (see also marine geology 4604),"Land, solid earth, seabeds and ocean floors",No Co-Researcher,No Partners,100067,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100067
Collagenolytic enzymes and postmortem texture deterioration in fish/shellfish flesh,No summary - Aucun sommaire,36568-1991,1991,1991-1992,"Simpson, Benjamin",McGill University,Food Science & Agricultural Chem.,Québec,20000.0,1-3,Discovery Grants Program - Individual,Plant Biology & Food Science,"Food processing, packaging, preservation and storage",Processed food products and beverages,No Co-Researcher,No Partners,100068,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100068
"Developing enzymatic and chemical methods to control melanosis in economically important crustacean specie (Shrimp, Snow crab & Lobster)",No summary - Aucun sommaire,102537-1990,1990,1991-1992,"Simpson, Benjamin",McGill University,Food Science & Agricultural Chem.,Québec,4000.0,2-2,Collaborative Research and Development Grants - Government (H),University/Industry,Not available,Not available,No Co-Researcher,Fisheries and Oceans Canada,100069,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100069
Biologie de la lactation chez les bovins laitiers,No summary - Aucun sommaire,2312-1996,1996,1996-1997,"Petitclerc, Denis",Université de Sherbrooke,Biologie,Québec,15000.0,1-4,Discovery Grants Program - Individual,Animal Physiology (H),Animal biology,Animal production and animal primary products,No Co-Researcher,No Partners,10007,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10007
No title - Aucun titre,No summary - Aucun sommaire,94109-1990,1990,1991-1992,"Simpson, David",Simon Fraser University,Computing Science (School),British Columbia,9981.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Computer systems organization,Not available,No Co-Researcher,No Partners,100070,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100070
Mechanism(s) governing interactions of light with seed water status in the expression of grass seed dormancy,No summary - Aucun sommaire,2964-1991,1991,1991-1992,"Simpson, Graham",University of Saskatchewan,Crop Science & Plant Ecology,Saskatchewan,20520.0,1-3,Discovery Grants Program - Individual,Plant Biology & Food Science,Plant and tree biology,"Crop management (pest,disease control and breeding)",No Co-Researcher,No Partners,100071,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100071
No title - Aucun titre,No summary - Aucun sommaire,95369-1990,1990,1991-1992,"Simpson, Isobel",University of Guelph,Land Resource Science,Ontario,10281.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Soil science,Not available,No Co-Researcher,No Partners,100072,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100072
Sudbury Neutrino Observatory,No summary - Aucun sommaire,100308-1989,1989,1991-1992,"Simpson, John",University of Guelph,Physics,Ontario,127000.0,3-3,Collaborative Special Project Grants,Research Grants,Not available,Not available,No Co-Researcher,No Partners,100073,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100073
Study of fundamental nuclear and particle properties,No summary - Aucun sommaire,6024-1991,1991,1991-1992,"Simpson, John",University of Guelph,Physics,Ontario,50000.0,1-3,Discovery Grants Program - Individual,Subatomic Physics,Particle physics,Physical sciences,No Co-Researcher,No Partners,100074,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100074
Research in software for partial differential equations,No summary - Aucun sommaire,8239-1991,1991,1991-1992,"Simpson, Bruce",University of Waterloo,Computer Science,Ontario,17000.0,1-3,Discovery Grants Program - Individual,Computing & Information Sci. (H),Mathematics of computing,Engineering,No Co-Researcher,No Partners,100075,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100075
Visual and auditory extraction of depth from motion,No summary - Aucun sommaire,46579-1990,1990,1991-1992,"Simpson, William",The University of Winnipeg,Psychology,Manitoba,15000.0,2-3,Discovery Grants Program - Individual,"Psychology: Brain, Behaviour & Cognitive Sciences",Psychology,Life sciences (including biotechnology),No Co-Researcher,No Partners,100076,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100076
Heat transfer in two-phase two-component flow. 2. Two phase flow in branching junctions. 3. Two-phase flow during dual discharge from reservoirs,No summary - Aucun sommaire,5185-1991,1991,1991-1992,"Sims, Grant",University of Manitoba,Mechanical & Industrial Engineering,Manitoba,18000.0,1-3,Discovery Grants Program - Individual,Mechanical Engineering,Multi-phase systems,"Mechanical machinery, heavy equipment (including farm, forestry, and construction equipment)",No Co-Researcher,No Partners,100077,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100077
Space robotics and control,No summary - Aucun sommaire,105909-1991,1991,1991-1992,"Sincarsin, Glen",University of Toronto,Aerospace Studies (Institute),Ontario,14000.0,1-3,Discovery Grants Program - Individual,Mechanical Engineering,"Aerospace, aeronautical and automotive engineering",Aerospace,No Co-Researcher,No Partners,100078,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100078
Metallogeny in the Canadian Cordillera,No summary - Aucun sommaire,2676-1991,1991,1991-1992,"Sinclair, Alastair",The University of British Columbia,Geological Sciences,British Columbia,25000.0,1-3,Discovery Grants Program - Individual,Solid Earth Sciences,Economic geology,"Mineral resources ( prospecting, exploration, mining, extraction, processing)",No Co-Researcher,No Partners,100079,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100079
The ontogenetic mechanisms underlying early human language acquisitio n: evidence from studies of infants acquiring language in two modalities,No summary - Aucun sommaire,92523-1993,1993,1996-1997,"Petitto, LauraAnn",McGill University,Psychology,Québec,25000.0,4-5,Discovery Grants Program - Individual,"Psychology: Brain, Behaviour & Cognitive Sciences",Cognitive science -- language,Not available,No Co-Researcher,No Partners,10008,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10008
"Metallogenesis of the Iskut River area, B.C.",No summary - Aucun sommaire,102437-1989,1989,1991-1992,"Sinclair, Alastair",The University of British Columbia,Geological Sciences,British Columbia,216250.0,2-4,Collaborative Research and Development Grants,University/Industry,Economic geology,"Mineral resources ( prospecting, exploration, mining, extraction, processing)",No Co-Researcher,Cominco LtdCorona CorporationEcstall Mining CorporationGranges Inc.Gulf International Minerals LtdHomestake Mineral Development Co.International Skyline Gold CorporationKennecott Canada Exploration Inc.Lac Minerals LtdNewhawk Gold Mines LtdNoranda Inc.Placer Dome Inc.Prime Equities Inc.Talisman Energy Inc.Teck Corporation,100080,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100080
Nondestructive evaluation of high performance materials,No summary - Aucun sommaire,5551-1990,1990,1991-1992,"Sinclair, Anthony",University of Toronto,Mechanical Engineering,Ontario,22000.0,2-3,Discovery Grants Program - Individual,Mechanical Engineering,"Materials structure, properties and testing",Primary metal products (ferrous and non-ferrous),No Co-Researcher,No Partners,100081,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100081
Regulatory processes in mammalian herbivore systems,No summary - Aucun sommaire,232-1991,1991,1991-1992,"Sinclair, Anthony",The University of British Columbia,Zoology,British Columbia,80000.0,1-3,Discovery Grants Program - Individual,Evolution & Ecology,Terrestrial ecology,Wildlife management,No Co-Researcher,No Partners,100082,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100082
4 wheel truck landcruiser hard top for Serengeti programme,No summary - Aucun sommaire,123505-1992,1992,1991-1992,"Sinclair, Anthony",The University of British Columbia,Zoology,British Columbia,36295.0,1-1,"Research Tools and Instruments - Category 1 (<$150,000)",Evolution & Ecology,Terrestrial ecology,Wildlife management,No Co-Researcher,No Partners,100083,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100083
No title - Aucun titre,No summary - Aucun sommaire,98901-1990,1990,1991-1992,"Sinclair, Bradley",Carleton University,Biology,Ontario,5588.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Animal biology,Not available,No Co-Researcher,No Partners,100084,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100084
Sudbury Neutrino Observatory,No summary - Aucun sommaire,100307-1989,1989,1991-1992,"Sinclair, David",Carleton University,Physics,Ontario,140000.0,3-3,Collaborative Special Project Grants,Research Grants,Not available,Not available,No Co-Researcher,No Partners,100085,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100085
The impact of UVB radiation on plant pigments and photosynthesis,No summary - Aucun sommaire,5899-1991,1991,1991-1992,"Sinclair, John",Carleton University,Biology,Ontario,17822.0,1-3,Discovery Grants Program - Individual,Plant Biology & Food Science,"Nutrition and metabolism, photosynthesis",Plant production and plant primary products,No Co-Researcher,No Partners,100086,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100086
No title - Aucun titre,No summary - Aucun sommaire,120408-1991,1991,1991-1992,"Sinclair, JRaymond",Rowan Williams Davies and Irwin,Head Office,Ontario,18750.0,Not available,Industrial Research Fellowships,Schol/Fellow: Eng/Comp Science (H),Environmental engineering,Not available,No Co-Researcher,No Partners,100087,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100087
No title - Aucun titre,No summary - Aucun sommaire,119941-1991,1991,1991-1992,"Sinclair, Sherrill",Simon Fraser University,Psychology,British Columbia,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Life Sciences (H),Animal physiology and metabolism,Not available,No Co-Researcher,No Partners,100088,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100088
IPP-91.01 - The CDF experiment at Fermilab,No summary - Aucun sommaire,109619-1991,1991,1991-1992,"Sinervo, Pekka",University of Toronto,Physics,Ontario,60000.0,1-2,Discovery Grants Program - Project,Subatomic Physics,Not available,Not available,No Co-Researcher,No Partners,100089,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100089
Sequential clinical experimentation and other applications,No summary - Aucun sommaire,4586-1996,1996,1996-1997,"Petkau, John",The University of British Columbia,Statistics,British Columbia,20400.0,1-4,Discovery Grants Program - Individual,Statistical Sciences,Statistical theory,Mathematical sciences,No Co-Researcher,No Partners,10009,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10009
Experimental particle physics,No summary - Aucun sommaire,122601-1992,1992,1991-1992,"Sinervo, Pekka",University of Toronto,Physics,Ontario,128764.0,1-1,"Research Tools and Instruments - Category 1 (<$150,000)",Subatomic Physics,Experimental methods and instrumentation,Physical sciences,No Co-Researcher,No Partners,100090,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100090
Language processes in adults: Inference and Representational structure,No summary - Aucun sommaire,9800-1991,1991,1991-1992,"Singer, Murray",University of Manitoba,Psychology,Manitoba,20000.0,1-3,Discovery Grants Program - Individual,"Psychology: Brain, Behaviour & Cognitive Sciences",Cognitive science -- language,Learning and education,No Co-Researcher,No Partners,100091,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100091
No title - Aucun titre,No summary - Aucun sommaire,96615-1990,1990,1991-1992,"Singer, Thomas",University of Toronto,Biochemistry,Ontario,5524.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Animal biology,Not available,No Co-Researcher,No Partners,100092,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100092
